material,items,weight_estimate_g
paper,paper,6.1
paper,cigarettebutts,0.29
paper,fragments(trash),1.05
paper,cups,5.05
paper,fragments(trash),1.05
paper,fragments(trash),1.05
paper,cigarettebutts,0.29
paper,napkins,11.9
paper,cigarettebutts,0.29
paper,cigarettebutts,0.29
paper,cigarettebutts,0.29
paper,cigarettebutts,0.29
paper,cigarettebutts,0.29
paper,napkins,11.9
paper,fragments(trash),1.05
paper,cigarettebutts,0.29
paper,fragments(trash),1.05
paper,bags,25.39
paper,cigarettebutts,0.29
paper,cigarettebutts,0.29
paper,cigarettebutts,0.29
paper,newspapers&magazines,100
paper,wrappers,14.61
paper,paper,6.1
paper,napkins,11.9
paper,wrappers,14.61
paper,wrappers,14.61
paper,fragments(trash),1.05
paper,cigarettebutts,0.29
paper,cups,5.05
paper,cigarettebutts,0.29
paper,fragments(trash),1.05
plastic,wrappers,14.61
plastic,lids,3.64
plastic,wrappers,14.61
plastic,wrappers,14.61
plastic,wrappers,14.61
plastic,"bottlecaps,lids&pulltabs",1.9
plastic,fragments(trash),1.05
plastic,lids,3.64
plastic,fragments(trash),1.05
plastic,wrappers,14.61
plastic,wrappers,14.61
plastic,bottles&jars,29.8
plastic,fragments(trash),1.05
plastic,tape,14.61
plastic,wrappers,14.61
plastic,containersortubes,29.8
plastic,wrappers,14.61
plastic,wrappers,14.61
plastic,bags,8.52
plastic,fragments(trash),1.05
plastic,fragments(trash),1.05
plastic,string,8
plastic,fragments(trash),1.05
plastic,bags,8.52
plastic,beveragebottles,22.97
plastic,fragments(trash),1.05
plastic,beveragebottles,22.97
plastic,tape,14.61
plastic,wrappers,14.61
plastic,beveragebottles,22.97
plastic,lids,3.64
plastic,cups,6
plastic,other,82.5
plastic,gloves,82.5
plastic,containersortubes,29.8
plastic,gloves,82.5
plastic,straws,0.78
plastic,fragments(trash),1.05
plastic,lids,3.64
plastic,bottlecaps,1.9
plastic,wrappers,14.61
plastic,lids,3.64
plastic,other,82.5
plastic,strappingbandsorzip-ties,8
plastic,fragments(trash),1.05
plastic,strappingbandsorzip-ties,8
plastic,fragments(trash),1.05
plastic,tape,14.61
plastic,wrappers,14.61
plastic,tape,14.61
plastic,strappingbandsorzip-ties,8
plastic,fragments(trash),1.05
plastic,fragments(trash),1.05
plastic,lids,3.64
plastic,tape,14.61
plastic,strappingbandsorzip-ties,8
plastic,wrappers,14.61
plastic,strappingbandsorzip-ties,8
plastic,fragments(trash),1.05
plastic,tape,14.61
plastic,fragments(trash),1.05
plastic,strappingbandsorzip-ties,8
plastic,waterbottles,22.97
plastic,bags,8.52
plastic,fragments(trash),1.05
plastic,wrappers,14.61
plastic,bags,8.52
plastic,fragments(trash),1.05
plastic,wrappers,14.61
plastic,lids,3.64
plastic,bags,8.52
plastic,other,82.5
plastic,wrappers,14.61
plastic,fragments(trash),1.05
plastic,tape,14.61
plastic,strappingbandsorzip-ties,8
plastic,wrappers,14.61
plastic,strappingbandsorzip-ties,8
plastic,fragments(trash),1.05
plastic,bottlecaps,1.9
plastic,strappingbandsorzip-ties,8
plastic,bags,8.52
plastic,tape,14.61
plastic,fragments(trash),1.05
plastic,fragments(trash),1.05
plastic,wrappers,14.61
plastic,wrappers,14.61
plastic,tape,14.61
plastic,lids,3.64
plastic,bags,8.52
plastic,"bottlecaps,lids&pulltabs",1.9
plastic,wrappers,14.61
plastic,strappingbandsorzip-ties,8
plastic,strappingbandsorzip-ties,8
plastic,strappingbandsorzip-ties,8
plastic,waterbottles,22.97
plastic,wrappers,14.61
plastic,wrappers,14.61
plastic,wrappers,14.61
plastic,fragments(trash),1.05
plastic,wrappers,14.61
plastic,waterbottles,22.97
plastic,straws,0.78
plastic,wrappers,14.61
plastic,wrappers,14.61
plastic,fragments(trash),1.05
plastic,wrappers,14.61
plastic,fragments(trash),1.05
plastic,bags,8.52
plastic,wrappers,14.61
plastic,lids,3.64
plastic,waterbottles,22.97
plastic,wrappers,14.61
plastic,tape,14.61
plastic,wrappers,14.61
plastic,fragments(trash),1.05
plastic,saucepacket,14.61
plastic,bags,8.52
plastic,saucepacket,14.61
plastic,wrappers,14.61
plastic,wrappers,14.61
plastic,bags,8.52
plastic,"bar,pipe,orwire",20
plastic,wrappers,14.61
plastic,wrappers,14.61
plastic,saucepacket,14.61
plastic,fragments(trash),1.05
plastic,fragments(trash),1.05
plastic,cups,6
plastic,cups,6
plastic,fragments(trash),1.05
plastic,fragments(trash),1.05
plastic,fragments(trash),1.05
plastic,fragments(trash),1.05
plastic,fragments(trash),1.05
plastic,fragments(trash),1.05
plastic,fragments(trash),1.05
plastic,fragments(trash),1.05
plastic,fragments(trash),1.05
plastic,fragments(trash),1.05
plastic,fragments(trash),1.05
plastic,other,82.5
wood,fragments(trash),1.05
paper,fragments(trash),1.05
paper,fragments(trash),1.05
cloth,gloves,82.5
cloth,gloves,82.5
metal,wrappers,14.61
metal,containersortubes,29.8
metal,other,82.5
metal,wrappers,14.61
metal,wrappers,14.61
paper,other,82.5
paper,wrappers,14.61
paper,other,82.5
paper,wrappers,14.61
paper,wrappers,14.61
paper,fragments(trash),1.05
paper,bags,25.39
paper,wrappers,14.61
paper,cigarettebutts,0.29
paper,wrappers,14.61
paper,cigarettebutts,0.29
paper,fragments(trash),1.05
paper,wrappers,14.61
paper,cigarettebutts,0.29
paper,other,82.5
paper,other,82.5
paper,napkins,11.9
paper,wrappers,14.61
paper,cups,5.05
paper,cups,5.05
paper,cigarettebutts,0.29
paper,fragments(trash),1.05
paper,cups,5.05
paper,other,82.5
paper,cigarettebutts,0.29
paper,fragments(trash),1.05
paper,cigarettebutts,0.29
paper,fragments(trash),1.05
paper,cigarettebutts,0.29
paper,wrappers,14.61
paper,cups,5.05
paper,fragments(trash),1.05
plastic,bags,8.52
plastic,other,82.5
plastic,wrappers,14.61
plastic,beveragebottles,22.97
plastic,wrappers,14.61
plastic,wrappers,14.61
plastic,wrappers,14.61
plastic,wrappers,14.61
plastic,fragments(trash),1.05
plastic,wrappers,14.61
plastic,wrappers,14.61
plastic,wrappers,14.61
plastic,wrappers,14.61
plastic,wrappers,14.61
plastic,beveragebottles,22.97
plastic,wrappers,14.61
plastic,cups,6
plastic,lids,3.64
plastic,other,82.5
plastic,lids,3.64
plastic,wrappers,14.61
plastic,lids,3.64
plastic,beveragebottles,22.97
plastic,wrappers,14.61
plastic,wrappers,14.61
plastic,wrappers,14.61
plastic,saucepacket,14.61
plastic,waterbottles,22.97
plastic,bags,8.52
plastic,lids,3.64
plastic,lids,3.64
plastic,wrappers,14.61
plastic,bottlecaps,1.9
plastic,fragments(trash),1.05
plastic,tape,14.61
plastic,straws,0.78
plastic,lids,3.64
plastic,saucepacket,14.61
plastic,fragments(trash),1.05
plastic,bags,8.52
plastic,lids,3.64
plastic,"straws,stirrers",0.78
plastic,tape,14.61
plastic,wrappers,14.61
plastic,saucepacket,14.61
plastic,cups,6
plastic,fragments(trash),1.05
plastic,fragments(trash),1.05
plastic,fragments(trash),1.05
plastic,cups,6
plastic,fragments(trash),1.05
metal,cans,15.05
metal,containersortubes,29.8
metal,cans,15.05
metal,cans,15.05
metal,cans,15.05
paper,packaging,82.5
paper,other,82.5
paper,containersortubes,29.8
paper,packaging,82.5
paper,packaging,82.5
paper,packaging,82.5
paper,juicecarton,22.3
paper,juicecarton,22.3
paper,containersortubes,29.8
paper,containersortubes,29.8
paper,juicecarton,22.3
glass,beveragebottles,22.97
glass,other,82.5
metal,fragments(trash),1.05
metal,bottlecaps,1.9
metal,other,82.5
paper,receipts,5
paper,napkins,11.9
paper,receipts,5
paper,other,82.5
paper,receipts,5
paper,books,100
paper,cups,5.05
paper,containersortubes,29.8
paper,cups,5.05
paper,containersortubes,29.8
paper,napkins,11.9
paper,napkins,11.9
paper,containersortubes,29.8
paper,napkins,11.9
paper,bags,25.39
paper,napkins,11.9
paper,bags,25.39
paper,other,82.5
paper,containersortubes,29.8
paper,napkins,11.9
paper,cups,5.05
paper,cups,5.05
paper,cups,5.05
paper,cups,5.05
paper,receipts,5
paper,other,82.5
paper,fragments(trash),1.05
paper,napkins,11.9
paper,other,82.5
paper,other,82.5
paper,cups,5.05
paper,cups,5.05
paper,cups,5.05
paper,cups,5.05
paper,receipts,5
paper,wetwipes,11.9
paper,wetwipes,11.9
paper,wetwipes,11.9
paper,cups,5.05
paper,coffeecup,5.05
paper,cigarettepackets,10.4
paper,receipts,5
paper,receipts,5
paper,receipts,5
paper,napkins,11.9
paper,bags,25.39
paper,cups,5.05
paper,cups,5.05
paper,cups,5.05
paper,books,100
paper,fragments(trash),1.05
paper,cigarettepackets,10.4
paper,cigarettepackets,10.4
paper,cups,5.05
paper,cups,5.05
paper,cups,5.05
paper,paper,6.1
paper,containersortubes,29.8
paper,cups,5.05
paper,cups,5.05
paper,cups,5.05
paper,cups,5.05
paper,cups,5.05
paper,cups,5.05
paper,cups,5.05
paper,cups,5.05
paper,bags,25.39
paper,containersortubes,29.8
paper,containersortubes,29.8
paper,bags,25.39
paper,other,82.5
plastic,foodwrappers,14.61
plastic,foodwrappersorcontainers,15.42
plastic,foodwrappersorcontainers,15.42
plastic,bottlecaps,1.9
plastic,tape,14.61
plastic,foodwrappers,14.61
plastic,containersortubes,29.8
plastic,wrappers,14.61
plastic,straws,0.78
plastic,cigarettebutts,0.29
plastic,foodwrappersorcontainers,15.42
plastic,beveragebottles,22.97
plastic,other,82.5
plastic,foodwrappers,14.61
plastic,wrappers,14.61
plastic,cigarettepackets,10.4
plastic,straws,0.78
plastic,wrappers,14.61
plastic,wrappers,14.61
plastic,wrappers,14.61
plastic,foodwrappers,14.61
plastic,wrappers,14.61
plastic,drugs,82.5
plastic,bags,8.52
plastic,straws,0.78
plastic,wrappers,14.61
plastic,foodwrappers,14.61
plastic,wrappers,14.61
plastic,bottlecaps,1.9
plastic,cups,6
plastic,foodwrappers,14.61
plastic,foodwrappers,14.61
plastic,wrappers,14.61
plastic,bags,8.52
plastic,containersortubes,29.8
plastic,straws,0.78
plastic,cigarettebutts,0.29
plastic,utensil,4.26
plastic,dentalflossers,82.5
plastic,cups,6
plastic,wrappers,14.61
plastic,wrappers,14.61
plastic,foodwrappers,14.61
plastic,foodwrappers,14.61
plastic,wrappers,14.61
plastic,bottlecaps,1.9
plastic,lids,3.64
plastic,straws,0.78
plastic,cigarettebutts,0.29
plastic,wrappers,14.61
plastic,foodwrappers,14.61
plastic,lids,3.64
plastic,wrappers,14.61
plastic,foodwrappers,14.61
plastic,straws,0.78
plastic,wrappers,14.61
plastic,cups,6
plastic,cups,6
plastic,lids,3.64
plastic,containersortubes,29.8
plastic,bottlecaps,1.9
plastic,cups,6
plastic,cups,6
plastic,lids,3.64
plastic,containersortubes,29.8
plastic,bags,8.52
plastic,cigarettebutts,0.29
plastic,foodwrappers,14.61
plastic,utensil,4.26
plastic,other,82.5
plastic,foodwrappers,14.61
plastic,foodwrappers,14.61
plastic,waterbottles,22.97
plastic,foodwrappers,14.61
plastic,other,82.5
plastic,other,82.5
plastic,foodwrappers,14.61
plastic,foodwrappers,14.61
plastic,foodwrappers,14.61
plastic,cigarettepackets,10.4
plastic,cigarettepackets,10.4
plastic,lids,3.64
plastic,cigarettepackets,10.4
plastic,foodwrappers,14.61
plastic,containersortubes,29.8
plastic,wrappers,14.61
plastic,bags,8.52
plastic,containersortubes,29.8
plastic,containersortubes,29.8
plastic,tape,14.61
plastic,other,82.5
plastic,wrappers,14.61
plastic,foodwrappers,14.61
plastic,cigarettepackets,10.4
plastic,straws,0.78
plastic,foodwrappers,14.61
plastic,cups,6
plastic,wrappers,14.61
plastic,wrappers,14.61
plastic,foodwrappers,14.61
plastic,foodwrappers,14.61
plastic,straws,0.78
plastic,foodwrappers,14.61
plastic,foodwrappers,14.61
plastic,lids,3.64
plastic,straws,0.78
plastic,straws,0.78
plastic,wrappers,14.61
plastic,waterbottles,22.97
plastic,foodwrappers,14.61
plastic,containersortubes,29.8
plastic,wrappers,14.61
plastic,foodwrappers,14.61
plastic,lids,3.64
plastic,wrappers,14.61
plastic,bags,8.52
plastic,lids,3.64
plastic,bags,8.52
plastic,bags,8.52
plastic,wrappers,14.61
plastic,foodwrappers,14.61
plastic,bags,8.52
plastic,foodwrappers,14.61
plastic,foodwrappers,14.61
plastic,straws,0.78
plastic,waterbottles,22.97
plastic,waterbottles,22.97
plastic,straws,0.78
plastic,containersortubes,29.8
plastic,containersortubes,29.8
plastic,containersortubes,29.8
plastic,beveragebottles,22.97
plastic,bags,8.52
plastic,cigarettepackets,10.4
plastic,wrappers,14.61
plastic,wrappers,14.61
plastic,wrappers,14.61
plastic,bags,8.52
plastic,containersortubes,29.8
plastic,coffeecuplid,3.64
plastic,wrappers,14.61
plastic,foodwrappers,14.61
plastic,containersortubes,29.8
plastic,foodwrappers,14.61
cloth,rope,8
plastic,other,82.5
plastic,other,82.5
cloth,"clothing,hats,gloves&towels",82.5
plastic,other,82.5
plastic,plates,10.05
plastic,other,82.5
plastic,other,82.5
plastic,other,82.5
plastic,packaging,82.5
plastic,packaging,82.5
plastic,other,82.5
plastic,other,82.5
plastic,other,82.5
plastic,other,82.5
plastic,cups,6
plastic,cups,6
plastic,other,82.5
plastic,other,82.5
plastic,other,82.5
plastic,cups,6
plastic,cups,6
plastic,plates,10.05
plastic,cups,6
plastic,other,82.5
plastic,other,82.5
plastic,plates,10.05
plastic,plates,10.05
plastic,plates,10.05
plastic,cups,6
plastic,cups,6
plastic,cups,6
plastic,other,82.5
plastic,cups,6
plastic,cups,6
plastic,cups,6
organic,food,29
paper,other,82.5
paper,other,82.5
paper,other,82.5
glass,beveragebottles,22.97
glass,beveragebottles,22.97
glass,beveragebottles,22.97
glass,beveragebottles,22.97
glass,beveragebottles,22.97
glass,other,82.5
metal,other,82.5
metal,bottlecaps,1.9
metal,bottlecaps,1.9
paper,cigarettepackets,10.4
paper,containersortubes,29.8
paper,plates,13.94
paper,plates,13.94
paper,napkins,11.9
paper,napkins,11.9
paper,receipts,5
paper,fragments(trash),1.05
paper,wrappers,14.61
paper,plates,13.94
plastic,lids,3.64
plastic,foodwrappers,14.61
plastic,foodwrappers,14.61
plastic,gloves,82.5
plastic,straws,0.78
plastic,lids,3.64
plastic,foodwrappers,14.61
plastic,foodwrappers,14.61
plastic,containersortubes,29.8
plastic,foodwrappers,14.61
plastic,lids,3.64
plastic,foodwrappers,14.61
plastic,foodwrappers,14.61
plastic,straws,0.78
plastic,wrappers,14.61
plastic,bags,8.52
plastic,bags,8.52
plastic,other,82.5
plastic,cigarettebutts,0.29
plastic,cigarettebutts,0.29
plastic,cigarettepackets,10.4
plastic,cups,6
plastic,cups,6
plastic,cups,6
plastic,cups,6
plastic,other,82.5
plastic,cups,6
metal,lids,2
metal,cans,15.05
metal,cans,15.05
metal,foil,5.05
plastic,other,82.5
paper,packaging,82.5
cloth,other,82.5
glass,beveragebottles,22.97
glass,beveragebottles,22.97
metal,utensil,4.26
metal,telephone,82.5
metal,telephone,82.5
metal,coffeecup,15.05
paper,other,82.5
paper,bags,25.39
paper,bags,25.39
paper,wrappers,14.61
paper,receipts,5
paper,containersortubes,29.8
paper,cups,5.05
paper,foodwrappers,14.61
paper,napkins,11.9
paper,napkins,11.9
paper,other,82.5
paper,plates,13.94
paper,bags,25.39
paper,plates,13.94
paper,other,82.5
paper,plates,13.94
paper,receipts,5
paper,containersortubes,29.8
paper,other,82.5
paper,other,82.5
paper,napkins,11.9
paper,plates,13.94
paper,napkins,11.9
paper,other,82.5
paper,cups,5.05
paper,receipts,5
paper,receipts,5
paper,napkins,11.9
paper,foodwrappers,14.61
paper,other,82.5
paper,coffeecup,5.05
paper,bags,25.39
paper,napkins,11.9
paper,wrappers,14.61
paper,containersortubes,29.8
paper,containersortubes,29.8
paper,napkins,11.9
paper,napkins,11.9
paper,coffeecup,5.05
paper,paper,6.1
paper,other,82.5
paper,napkins,11.9
paper,lids,1.81
paper,books,100
paper,containersortubes,29.8
paper,receipts,5
plastic,beveragebottles,22.97
plastic,wrappers,14.61
plastic,foodwrappers,14.61
plastic,foodwrappers,14.61
plastic,foodwrappers,14.61
plastic,cigarettebutts,0.29
plastic,fragments(trash),1.05
plastic,cigarettebutts,0.29
plastic,cups,6
plastic,cups,6
plastic,containersortubes,29.8
plastic,lids,3.64
plastic,cigarettebutts,0.29
plastic,cigarettebutts,0.29
plastic,foodwrappers,14.61
plastic,foodwrappers,14.61
plastic,foodwrappers,14.61
plastic,cigarettebutts,0.29
plastic,cigarettebutts,0.29
plastic,foodwrappers,14.61
plastic,straws,0.78
plastic,cigarettepackets,10.4
plastic,foodwrappers,14.61
plastic,cigarettebutts,0.29
plastic,cigarettebutts,0.29
plastic,bags,8.52
plastic,wrappers,14.61
plastic,wrappers,14.61
plastic,foodwrappers,14.61
plastic,lids,3.64
plastic,straws,0.78
plastic,cups,6
plastic,other,82.5
plastic,beveragebottles,22.97
plastic,wrappers,14.61
plastic,cups,6
plastic,foodwrappers,14.61
plastic,lids,3.64
plastic,bags,8.52
plastic,cups,6
plastic,straws,0.78
plastic,straws,0.78
plastic,bottlecaps,1.9
plastic,cups,6
plastic,containersortubes,29.8
plastic,waterbottles,22.97
plastic,foodwrappers,14.61
plastic,cigarettebutts,0.29
plastic,lids,3.64
plastic,straws,0.78
plastic,cups,6
plastic,beveragebottles,22.97
plastic,straws,0.78
plastic,foodwrappers,14.61
plastic,cigarettebutts,0.29
plastic,foodwrappers,14.61
plastic,lids,3.64
plastic,foodwrappers,14.61
plastic,foodwrappers,14.61
plastic,cigarettebutts,0.29
plastic,foodwrappers,14.61
plastic,cigarettepackets,10.4
plastic,bags,8.52
plastic,lids,3.64
plastic,bags,8.52
plastic,cups,6
plastic,containersortubes,29.8
plastic,wrappers,14.61
plastic,foodwrappers,14.61
plastic,foodwrappers,14.61
plastic,foodwrappers,14.61
plastic,foodwrappers,14.61
plastic,utensil,4.26
plastic,foodwrappers,14.61
plastic,containersortubes,29.8
plastic,foodwrappers,14.61
plastic,foodwrappers,14.61
plastic,lids,3.64
plastic,cigarettebutts,0.29
plastic,straws,0.78
plastic,cigarettebutts,0.29
plastic,straws,0.78
plastic,cigarettebutts,0.29
plastic,cigarettebutts,0.29
plastic,other,82.5
plastic,wrappers,14.61
plastic,wrappers,14.61
plastic,foodwrappers,14.61
plastic,beveragebottles,22.97
plastic,foodwrappers,14.61
plastic,lids,3.64
plastic,foodwrappers,14.61
plastic,other,82.5
plastic,wrappers,14.61
plastic,wrappers,14.61
plastic,foodwrappers,14.61
plastic,foodwrappers,14.61
plastic,wrappers,14.61
plastic,bags,8.52
plastic,bottlecaps,1.9
plastic,waterbottles,22.97
plastic,other,82.5
plastic,lids,3.64
plastic,foodwrappers,14.61
plastic,wrappers,14.61
plastic,lids,3.64
plastic,foodwrappers,14.61
plastic,containersortubes,29.8
plastic,wrappers,14.61
plastic,foodwrappers,14.61
plastic,juicecarton,22.3
plastic,foodwrappers,14.61
plastic,bottlecaps,1.9
plastic,containersortubes,29.8
plastic,cigarettepackets,10.4
plastic,straws,0.78
plastic,cigarettebutts,0.29
plastic,cigarettepackets,10.4
plastic,straws,0.78
plastic,containersortubes,29.8
plastic,lids,3.64
plastic,foodwrappers,14.61
