Source,normalized_particle.L_concentration,size_min_um,size_max_um,DOI,Sample_ID,Subsample_ID,alpha_lower,alpha,alpha_upper,correction_factor,corrected_concentration,correction_factor_lower,corrected_concentration_lower,correction_factor_upper,corrected_concentration_upper
drinkingwater,2649,0.2,5000,10.1016/j.sciotenv.2018.08.102,Mineral Water.1|10.1016/j.sciotenv.2018.08.178,N/A,1.09,1.64,2.19,0.36,953.64,0.77,2051.7,0.15,390.21
drinkingwater,4889,0.2,5000,10.1016/j.sciotenv.2018.08.102,Mineral Water.2|10.1016/j.sciotenv.2018.08.178,N/A,1.09,1.64,2.19,0.36,1760.04,0.77,3786.61,0.15,720.16
drinkingwater,6292,0.2,5000,10.1016/j.sciotenv.2018.08.102,Mineral Water.3|10.1016/j.sciotenv.2018.08.178,N/A,1.09,1.64,2.19,0.36,2265.12,0.77,4873.26,0.15,926.83
drinkingwater,443,0.2,5000,10.1016/j.sciotenv.2018.08.102,WTP1_Treated|10.1016/j.sciotenv.2018.08.178,N/A,1.09,1.64,2.19,0.36,159.48,0.77,343.11,0.15,65.26
drinkingwater,338,0.2,5000,10.1016/j.sciotenv.2018.08.102,WTP2_Treated|10.1016/j.sciotenv.2018.08.178,N/A,1.09,1.64,2.19,0.36,121.68,0.77,261.79,0.15,49.79
drinkingwater,628,0.2,5000,10.1016/j.sciotenv.2018.08.102,WTP3_Treated|10.1016/j.sciotenv.2018.08.178,N/A,1.09,1.64,2.19,0.36,226.08,0.77,486.4,0.15,92.51
drinkingwater,7.00E-04,0.2,5000,10.1371/journal.pone.0236838,Mintenig|10.1371/journal.pone.0236838,N/A,1.09,1.64,2.19,0.36,2.52E-04,0.77,0,0.15,0
drinkingwater,18,0.2,5000,10.1371/journal.pone.0236838,Shruti|10.1371/journal.pone.0236838,N/A,1.09,1.64,2.19,0.36,6.48,0.77,13.94,0.15,2.65
drinkingwater,0.59,0.2,5000,10.1371/journal.pone.0236838,Strand|10.1371/journal.pone.0236838,N/A,1.09,1.64,2.19,0.36,0.2124,0.77,0.46,0.15,0.09
drinkingwater,0.7,0.2,5000,10.1371/journal.pone.0236838,Zhang|10.1371/journal.pone.0236838,N/A,1.09,1.64,2.19,0.36,0.25,0.77,0.54,0.15,0.1
drinkingwater,315,0.2,5000,10.1371/journal.pone.0236838,Mason|10.1371/journal.pone.0236838,Mason.1|10.1371/journal.pone.0236838,1.09,1.64,2.19,0.36,113.4,0.77,243.97,0.15,46.4
drinkingwater,10.4,0.2,5000,10.1371/journal.pone.0236838,Mason|10.1371/journal.pone.0236838,Mason.2|10.1371/journal.pone.0236838,1.09,1.64,2.19,0.36,3.744,0.77,8.05,0.15,1.53
drinkingwater,3074,0.2,5000,10.1371/journal.pone.0236838,Ossmann|10.1371/journal.pone.0236838,N/A,1.09,1.64,2.19,0.36,1106.64,0.77,2380.86,0.15,452.81
drinkingwater,0.33,0.2,5000,10.1371/journal.pone.0236838,Weisheu|10.1371/journal.pone.0236838,N/A,1.09,1.64,2.19,0.36,0.12,0.77,0.26,0.15,0.05
drinkingwater,2649,0.2,5000,10.1016/j.impact.2021.100302,MineralWater_SingleUsePET|10.1016/j.impact.2021.100302,N/A,1.09,1.64,2.19,0.36,953.64,0.77,2051.7,0.15,390.21
drinkingwater,4889,0.2,5000,10.1016/j.impact.2021.100302,MineralWater_ReusablePET|10.1016/j.impact.2021.100302,N/A,1.09,1.64,2.19,0.36,1760.04,0.77,3786.61,0.15,720.16
drinkingwater,6292,0.2,5000,10.1016/j.impact.2021.100302,MineralWater_Glass|10.1016/j.impact.2021.100302,N/A,1.09,1.64,2.19,0.36,2265.12,0.77,4873.26,0.15,926.83
drinkingwater,1473,0.2,5000,10.1016/j.impact.2021.100302,RawDrinkingWater|10.1016/j.impact.2021.100302,RawDrinkingWater.1|10.1016/j.impact.2021.100302,1.09,1.64,2.19,0.36,530.28,0.77,1140.86,0.15,216.98
drinkingwater,1812,0.2,5000,10.1016/j.impact.2021.100302,RawDrinkingWater|10.1016/j.impact.2021.100302,RawDrinkingWater.2|10.1016/j.impact.2021.100302,1.09,1.64,2.19,0.36,652.32,0.77,1403.42,0.15,266.91
drinkingwater,3605,0.2,5000,10.1016/j.impact.2021.100302,RawDrinkingWater|10.1016/j.impact.2021.100302,RawDrinkingWater.3|10.1016/j.impact.2021.100302,1.09,1.64,2.19,0.36,1297.8,0.77,2792.13,0.15,531.03
drinkingwater,440,0.2,5000,10.1016/j.impact.2021.100302,TapWater|10.1016/j.impact.2021.100302,N/A,1.09,1.64,2.19,0.36,158.4,0.77,340.79,0.15,64.81
drinkingwater,6614,0.2,5000,10.1016/j.impact.2021.100302,RawWater|10.1016/j.impact.2021.100302,N/A,1.09,1.64,2.19,0.36,2381.04,0.77,5122.65,0.15,974.26
drinkingwater,930,0.2,5000,10.1016/j.impact.2021.100302,TreatedDrinkingWater2|10.1016/j.impact.2021.100302,N/A,1.09,1.64,2.19,0.36,334.8,0.77,720.3,0.15,136.99
drinkingwater,2.8,0.2,5000,10.1016/j.scitotenv.2020.140236,Milence|10.1016/j.scitotenv.2020.140236,Milence_Fibers.10.1016/j.scitotenv.2020.140236,1.09,1.64,2.19,0.36,1.01,0.77,2.17,0.15,0.41
drinkingwater,17,0.2,5000,10.1016/j.scitotenv.2020.140236,Milence|10.1016/j.scitotenv.2020.140236,Milence_Fragments.10.1016/j.scitotenv.2020.140236,1.09,1.64,2.19,0.36,6.12,0.77,13.17,0.15,2.5
drinkingwater,12,0.2,5000,10.1016/j.scitotenv.2020.140236,Plzen|10.1016/j.scitotenv.2020.140236,Plzen_Fibers.10.1016/j.scitotenv.2020.140236,1.09,1.64,2.19,0.36,4.32,0.77,9.29,0.15,1.77
drinkingwater,180,0.2,5000,10.1016/j.scitotenv.2020.140236,Plzen|10.1016/j.scitotenv.2020.140236,Plzen_Fragments.10.1016/j.scitotenv.2020.140236,1.09,1.64,2.19,0.36,64.8,0.77,139.41,0.15,26.51
drinkingwater,125,0.2,5000,10.1016/j.chemosphere.2020.126493,A|10.1016/j.chemosphere.2020.126493,1|10.1016/j.chemosphere.2020.126493,1.09,1.64,2.19,0.36,45,0.77,96.81,0.15,18.41
drinkingwater,0,0.2,5000,10.1016/j.chemosphere.2020.126493,A|10.1016/j.chemosphere.2020.126493,2|10.1016/j.chemosphere.2020.126493,1.09,1.64,2.19,0.36,0,0.77,0,0.15,0
drinkingwater,249,0.2,5000,10.1016/j.chemosphere.2020.126493,A|10.1016/j.chemosphere.2020.126493,3|10.1016/j.chemosphere.2020.126493,1.09,1.64,2.19,0.36,89.64,0.77,192.85,0.15,36.68
drinkingwater,872,0.2,5000,10.1016/j.chemosphere.2020.126493,A|10.1016/j.chemosphere.2020.126493,4|10.1016/j.chemosphere.2020.126493,1.09,1.64,2.19,0.36,313.92,0.77,675.38,0.15,128.45
drinkingwater,249,0.2,5000,10.1016/j.chemosphere.2020.126493,A|10.1016/j.chemosphere.2020.126493,5|10.1016/j.chemosphere.2020.126493,1.09,1.64,2.19,0.36,89.64,0.77,192.85,0.15,36.68
drinkingwater,374,0.2,5000,10.1016/j.chemosphere.2020.126493,A|10.1016/j.chemosphere.2020.126493,6|10.1016/j.chemosphere.2020.126493,1.09,1.64,2.19,0.36,134.64,0.77,289.67,0.15,55.09
drinkingwater,499,0.2,5000,10.1016/j.chemosphere.2020.126493,A|10.1016/j.chemosphere.2020.126493,7|10.1016/j.chemosphere.2020.126493,1.09,1.64,2.19,0.36,179.64,0.77,386.48,0.15,73.5
drinkingwater,249,0.2,5000,10.1016/j.chemosphere.2020.126493,A|10.1016/j.chemosphere.2020.126493,8|10.1016/j.chemosphere.2020.126493,1.09,1.64,2.19,0.36,89.64,0.77,192.85,0.15,36.68
drinkingwater,499,0.2,5000,10.1016/j.chemosphere.2020.126493,A|10.1016/j.chemosphere.2020.126493,9|10.1016/j.chemosphere.2020.126493,1.09,1.64,2.19,0.36,179.64,0.77,386.48,0.15,73.5
drinkingwater,374,0.2,5000,10.1016/j.chemosphere.2020.126493,A|10.1016/j.chemosphere.2020.126493,10|10.1016/j.chemosphere.2020.126493,1.09,1.64,2.19,0.36,134.64,0.77,289.67,0.15,55.09
drinkingwater,249,0.2,5000,10.1016/j.chemosphere.2020.126493,A|10.1016/j.chemosphere.2020.126493,11|10.1016/j.chemosphere.2020.126493,1.09,1.64,2.19,0.36,89.64,0.77,192.85,0.15,36.68
drinkingwater,249,0.2,5000,10.1016/j.chemosphere.2020.126493,A|10.1016/j.chemosphere.2020.126493,12|10.1016/j.chemosphere.2020.126493,1.09,1.64,2.19,0.36,89.64,0.77,192.85,0.15,36.68
drinkingwater,249,0.2,5000,10.1016/j.chemosphere.2020.126493,A|10.1016/j.chemosphere.2020.126493,13|10.1016/j.chemosphere.2020.126493,1.09,1.64,2.19,0.36,89.64,0.77,192.85,0.15,36.68
drinkingwater,374,0.2,5000,10.1016/j.chemosphere.2020.126493,A|10.1016/j.chemosphere.2020.126493,14|10.1016/j.chemosphere.2020.126493,1.09,1.64,2.19,0.36,134.64,0.77,289.67,0.15,55.09
drinkingwater,748,0.2,5000,10.1016/j.chemosphere.2020.126493,A|10.1016/j.chemosphere.2020.126493,15|10.1016/j.chemosphere.2020.126493,1.09,1.64,2.19,0.36,269.28,0.77,579.34,0.15,110.18
drinkingwater,374,0.2,5000,10.1016/j.chemosphere.2020.126493,A|10.1016/j.chemosphere.2020.126493,16|10.1016/j.chemosphere.2020.126493,1.09,1.64,2.19,0.36,134.64,0.77,289.67,0.15,55.09
drinkingwater,1247,0.2,5000,10.1016/j.chemosphere.2020.126493,A|10.1016/j.chemosphere.2020.126493,17|10.1016/j.chemosphere.2020.126493,1.09,1.64,2.19,0.36,448.92,0.77,965.82,0.15,183.69
drinkingwater,623,0.2,5000,10.1016/j.chemosphere.2020.126493,A|10.1016/j.chemosphere.2020.126493,18|10.1016/j.chemosphere.2020.126493,1.09,1.64,2.19,0.36,224.28,0.77,482.52,0.15,91.77
drinkingwater,499,0.2,5000,10.1016/j.chemosphere.2020.126493,A|10.1016/j.chemosphere.2020.126493,19|10.1016/j.chemosphere.2020.126493,1.09,1.64,2.19,0.36,179.64,0.77,386.48,0.15,73.5
drinkingwater,374,0.2,5000,10.1016/j.chemosphere.2020.126493,A|10.1016/j.chemosphere.2020.126493,20|10.1016/j.chemosphere.2020.126493,1.09,1.64,2.19,0.36,134.64,0.77,289.67,0.15,55.09
drinkingwater,125,0.2,5000,10.1016/j.chemosphere.2020.126493,A|10.1016/j.chemosphere.2020.126493,21|10.1016/j.chemosphere.2020.126493,1.09,1.64,2.19,0.36,45,0.77,96.81,0.15,18.41
drinkingwater,499,0.2,5000,10.1016/j.chemosphere.2020.126493,A|10.1016/j.chemosphere.2020.126493,22|10.1016/j.chemosphere.2020.126493,1.09,1.64,2.19,0.36,179.64,0.77,386.48,0.15,73.5
drinkingwater,249,0.2,5000,10.1016/j.chemosphere.2020.126493,A|10.1016/j.chemosphere.2020.126493,23|10.1016/j.chemosphere.2020.126493,1.09,1.64,2.19,0.36,89.64,0.77,192.85,0.15,36.68
drinkingwater,499,0.2,5000,10.1016/j.chemosphere.2020.126493,A|10.1016/j.chemosphere.2020.126493,24|10.1016/j.chemosphere.2020.126493,1.09,1.64,2.19,0.36,179.64,0.77,386.48,0.15,73.5
drinkingwater,249,0.2,5000,10.1016/j.chemosphere.2020.126493,A|10.1016/j.chemosphere.2020.126493,25|10.1016/j.chemosphere.2020.126493,1.09,1.64,2.19,0.36,89.64,0.77,192.85,0.15,36.68
drinkingwater,0,0.2,5000,10.1016/j.chemosphere.2020.126493,A|10.1016/j.chemosphere.2020.126493,26|10.1016/j.chemosphere.2020.126493,1.09,1.64,2.19,0.36,0,0.77,0,0.15,0
drinkingwater,1247,0.2,5000,10.1016/j.chemosphere.2020.126493,A|10.1016/j.chemosphere.2020.126493,27|10.1016/j.chemosphere.2020.126493,1.09,1.64,2.19,0.36,448.92,0.77,965.82,0.15,183.69
drinkingwater,374,0.2,5000,10.1016/j.chemosphere.2020.126493,A|10.1016/j.chemosphere.2020.126493,28|10.1016/j.chemosphere.2020.126493,1.09,1.64,2.19,0.36,134.64,0.77,289.67,0.15,55.09
drinkingwater,623,0.2,5000,10.1016/j.chemosphere.2020.126493,A|10.1016/j.chemosphere.2020.126493,29|10.1016/j.chemosphere.2020.126493,1.09,1.64,2.19,0.36,224.28,0.77,482.52,0.15,91.77
drinkingwater,499,0.2,5000,10.1016/j.chemosphere.2020.126493,A|10.1016/j.chemosphere.2020.126493,30|10.1016/j.chemosphere.2020.126493,1.09,1.64,2.19,0.36,179.64,0.77,386.48,0.15,73.5
drinkingwater,499,0.2,5000,10.1016/j.chemosphere.2020.126493,A|10.1016/j.chemosphere.2020.126493,31|10.1016/j.chemosphere.2020.126493,1.09,1.64,2.19,0.36,179.64,0.77,386.48,0.15,73.5
drinkingwater,374,0.2,5000,10.1016/j.chemosphere.2020.126493,A|10.1016/j.chemosphere.2020.126493,32|10.1016/j.chemosphere.2020.126493,1.09,1.64,2.19,0.36,134.64,0.77,289.67,0.15,55.09
drinkingwater,748,0.2,5000,10.1016/j.chemosphere.2020.126493,A|10.1016/j.chemosphere.2020.126493,33|10.1016/j.chemosphere.2020.126493,1.09,1.64,2.19,0.36,269.28,0.77,579.34,0.15,110.18
drinkingwater,623,0.2,5000,10.1016/j.chemosphere.2020.126493,A|10.1016/j.chemosphere.2020.126493,34|10.1016/j.chemosphere.2020.126493,1.09,1.64,2.19,0.36,224.28,0.77,482.52,0.15,91.77
drinkingwater,249,0.2,5000,10.1016/j.chemosphere.2020.126493,A|10.1016/j.chemosphere.2020.126493,35|10.1016/j.chemosphere.2020.126493,1.09,1.64,2.19,0.36,89.64,0.77,192.85,0.15,36.68
drinkingwater,374,0.2,5000,10.1016/j.chemosphere.2020.126493,A|10.1016/j.chemosphere.2020.126493,36|10.1016/j.chemosphere.2020.126493,1.09,1.64,2.19,0.36,134.64,0.77,289.67,0.15,55.09
drinkingwater,249,0.2,5000,10.1016/j.chemosphere.2020.126493,A|10.1016/j.chemosphere.2020.126493,37|10.1016/j.chemosphere.2020.126493,1.09,1.64,2.19,0.36,89.64,0.77,192.85,0.15,36.68
drinkingwater,748,0.2,5000,10.1016/j.chemosphere.2020.126493,A|10.1016/j.chemosphere.2020.126493,38|10.1016/j.chemosphere.2020.126493,1.09,1.64,2.19,0.36,269.28,0.77,579.34,0.15,110.18
drinkingwater,282,0.2,5000,10.1007/s11356-021-13769-x,April_DWTP|10.1007/s11356-021-13769-x,N/A,1.09,1.64,2.19,0.36,101.52,0.77,218.41,0.15,41.54
drinkingwater,267,0.2,5000,10.1007/s11356-021-13769-x,April_Tap|10.1007/s11356-021-13769-x,N/A,1.09,1.64,2.19,0.36,96.12,0.77,206.8,0.15,39.33
drinkingwater,338,0.2,5000,10.1007/s11356-021-13769-x,May_DWTP|10.1007/s11356-021-13769-x,N/A,1.09,1.64,2.19,0.36,121.68,0.77,261.79,0.15,49.79
drinkingwater,321,0.2,5000,10.1007/s11356-021-13769-x,May_Tap|10.1007/s11356-021-13769-x,N/A,1.09,1.64,2.19,0.36,115.56,0.77,248.62,0.15,47.28
drinkingwater,388,0.2,5000,10.1007/s11356-021-13769-x,June_DWTP|10.1007/s11356-021-13769-x,N/A,1.09,1.64,2.19,0.36,139.68,0.77,300.51,0.15,57.15
drinkingwater,381,0.2,5000,10.1007/s11356-021-13769-x,June_Tap|10.1007/s11356-021-13769-x,N/A,1.09,1.64,2.19,0.36,137.16,0.77,295.09,0.15,56.12
drinkingwater,400,0.2,5000,10.1007/s11356-021-13769-x,July_DWTP|10.1007/s11356-021-13769-x,N/A,1.09,1.64,2.19,0.36,144,0.77,309.81,0.15,58.92
drinkingwater,405,0.2,5000,10.1007/s11356-021-13769-x,July_Tap|10.1007/s11356-021-13769-x,N/A,1.09,1.64,2.19,0.36,145.8,0.77,313.68,0.15,59.66
drinkingwater,0.2,0.2,5000,10.1016/j.scitotenv.2022.154015,1|10.1016/j.scitotenv.2022.154015,N/A,1.09,1.64,2.19,0.36,0.07,0.77,0.15,0.15,0.03
drinkingwater,20,0.22,5000,10.1016/j.envpol.2020.114227,1|10.1016/j.envpol.2020.114227,N/A,1.09,1.64,2.19,0.38,7.6,0.79,15.71,0.16,3.3
drinkingwater,13,0.22,5000,10.1016/j.envpol.2020.114227,2|10.1016/j.envpol.2020.114227,N/A,1.09,1.64,2.19,0.38,4.94,0.79,10.21,0.16,2.14
drinkingwater,17,0.22,5000,10.1016/j.envpol.2020.114227,3|10.1016/j.envpol.2020.114227,N/A,1.09,1.64,2.19,0.38,6.46,0.79,13.36,0.16,2.8
drinkingwater,14,0.22,5000,10.1016/j.envpol.2020.114227,4|10.1016/j.envpol.2020.114227,N/A,1.09,1.64,2.19,0.38,5.32,0.79,11,0.16,2.31
drinkingwater,60,0.22,5000,10.1016/j.envpol.2020.114227,5|10.1016/j.envpol.2020.114227,N/A,1.09,1.64,2.19,0.38,22.8,0.79,47.14,0.16,9.9
drinkingwater,13,0.22,5000,10.1016/j.envpol.2020.114227,6|10.1016/j.envpol.2020.114227,N/A,1.09,1.64,2.19,0.38,4.94,0.79,10.21,0.16,2.14
drinkingwater,15,0.22,5000,10.1016/j.envpol.2020.114227,7|10.1016/j.envpol.2020.114227,N/A,1.09,1.64,2.19,0.38,5.7,0.79,11.79,0.16,2.47
drinkingwater,18,0.22,5000,10.1016/j.envpol.2020.114227,8|10.1016/j.envpol.2020.114227,N/A,1.09,1.64,2.19,0.38,6.84,0.79,14.14,0.16,2.97
drinkingwater,37,0.22,5000,10.1016/j.envpol.2020.114227,9|10.1016/j.envpol.2020.114227,N/A,1.09,1.64,2.19,0.38,14.06,0.79,29.07,0.16,6.1
drinkingwater,34,0.22,5000,10.1016/j.envpol.2020.114227,10|10.1016/j.envpol.2020.114227,N/A,1.09,1.64,2.19,0.38,12.92,0.79,26.72,0.16,5.61
drinkingwater,38,0.22,5000,10.1016/j.envpol.2020.114227,11|10.1016/j.envpol.2020.114227,N/A,1.09,1.64,2.19,0.38,14.44,0.79,29.86,0.16,6.27
drinkingwater,60,0.22,5000,10.1016/j.envpol.2020.114227,12|10.1016/j.envpol.2020.114227,N/A,1.09,1.64,2.19,0.38,22.8,0.79,47.14,0.16,9.9
drinkingwater,7,0.22,5000,10.1016/j.envpol.2020.114227,13|10.1016/j.envpol.2020.114227,N/A,1.09,1.64,2.19,0.38,2.66,0.79,5.5,0.16,1.15
drinkingwater,25,0.22,5000,10.1016/j.envpol.2020.114227,14|10.1016/j.envpol.2020.114227,N/A,1.09,1.64,2.19,0.38,9.5,0.79,19.64,0.16,4.12
drinkingwater,22,0.22,5000,10.1016/j.envpol.2020.114227,15|10.1016/j.envpol.2020.114227,N/A,1.09,1.64,2.19,0.38,8.36,0.79,17.29,0.16,3.63
drinkingwater,15,0.22,5000,10.1016/j.envpol.2020.114227,16|10.1016/j.envpol.2020.114227,N/A,1.09,1.64,2.19,0.38,5.7,0.79,11.79,0.16,2.47
drinkingwater,7,0.22,5000,10.1016/j.envpol.2020.114227,17|10.1016/j.envpol.2020.114227,N/A,1.09,1.64,2.19,0.38,2.66,0.79,5.5,0.16,1.15
drinkingwater,37,0.22,5000,10.1016/j.envpol.2020.114227,18|10.1016/j.envpol.2020.114227,N/A,1.09,1.64,2.19,0.38,14.06,0.79,29.07,0.16,6.1
drinkingwater,9,0.22,5000,10.1016/j.envpol.2020.114227,19|10.1016/j.envpol.2020.114227,N/A,1.09,1.64,2.19,0.38,3.42,0.79,7.07,0.16,1.48
drinkingwater,6,0.22,5000,10.1016/j.envpol.2020.114227,20|10.1016/j.envpol.2020.114227,N/A,1.09,1.64,2.19,0.38,2.28,0.79,4.71,0.16,0.99
drinkingwater,7,0.22,5000,10.1016/j.envpol.2020.114227,21|10.1016/j.envpol.2020.114227,N/A,1.09,1.64,2.19,0.38,2.66,0.79,5.5,0.16,1.15
drinkingwater,8,0.22,5000,10.1016/j.envpol.2020.114227,22|10.1016/j.envpol.2020.114227,N/A,1.09,1.64,2.19,0.38,3.04,0.79,6.29,0.16,1.32
drinkingwater,14,0.22,5000,10.1016/j.envpol.2020.114227,23|10.1016/j.envpol.2020.114227,N/A,1.09,1.64,2.19,0.38,5.32,0.79,11,0.16,2.31
drinkingwater,8,0.22,5000,10.1016/j.envpol.2020.114227,24|10.1016/j.envpol.2020.114227,N/A,1.09,1.64,2.19,0.38,3.04,0.79,6.29,0.16,1.32
drinkingwater,8,0.22,5000,10.1016/j.envpol.2020.114227,25|10.1016/j.envpol.2020.114227,N/A,1.09,1.64,2.19,0.38,3.04,0.79,6.29,0.16,1.32
drinkingwater,7,0.22,5000,10.1016/j.envpol.2020.114227,26|10.1016/j.envpol.2020.114227,N/A,1.09,1.64,2.19,0.38,2.66,0.79,5.5,0.16,1.15
drinkingwater,13,0.22,5000,10.1016/j.envpol.2020.114227,27|10.1016/j.envpol.2020.114227,N/A,1.09,1.64,2.19,0.38,4.94,0.79,10.21,0.16,2.14
drinkingwater,8,0.22,5000,10.1016/j.envpol.2020.114227,28|10.1016/j.envpol.2020.114227,N/A,1.09,1.64,2.19,0.38,3.04,0.79,6.29,0.16,1.32
drinkingwater,6,0.22,5000,10.1016/j.envpol.2020.114227,29|10.1016/j.envpol.2020.114227,N/A,1.09,1.64,2.19,0.38,2.28,0.79,4.71,0.16,0.99
drinkingwater,10,0.22,5000,10.1016/j.envpol.2020.114227,30|10.1016/j.envpol.2020.114227,N/A,1.09,1.64,2.19,0.38,3.8,0.79,7.86,0.16,1.65
drinkingwater,23,0.22,5000,10.1016/j.envpol.2020.114227,31|10.1016/j.envpol.2020.114227,N/A,1.09,1.64,2.19,0.38,8.74,0.79,18.07,0.16,3.79
