DOI,Sample_ID,Subsample_ID,Source,Concentration,Concentration_Units,normalized_particle/L_concentration,PEST,PE,PP,PA,PE_PS,PS,CA,PVC,ER,PAM,PET,PlasticAdditive,PBT,PU,PET_PEST,PAN,Silicone,Acrylic,Vinyl,Vinyon,Other,PA_ER,PTT,PE_PP,PPS,Rayon,PAA,PMPS,PI,Olefin,Styrene_Butadiene,PBA,PMMA,Cellophane,SAN,PC,PDMS,PLA,PTFE,SBR,PET_Olefin,PES,ABS,LDPE,PEVA,AR,PVA,PPE
10.1016/j.scitotenv.2021.150545,C_BioTreatment|10.1016/j.scitotenv.2021.150545,C_BioTreatment_OTHERS|10.1016/j.scitotenv.2021.150545,tap water,0.25,particles/L,0.25,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,
10.1016/j.scitotenv.2021.150545,C_Sedimentation|10.1016/j.scitotenv.2021.150545,C_Sedimentation_PET|10.1016/j.scitotenv.2021.150545,tap water,0.05,particles/L,0.05,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10.1016/j.scitotenv.2021.150545,C_Sedimentation|10.1016/j.scitotenv.2021.150545,C_Sedimentation_VINYL|10.1016/j.scitotenv.2021.150545,tap water,0.07,particles/L,0.07,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10.1016/j.scitotenv.2021.150545,C_Sedimentation|10.1016/j.scitotenv.2021.150545,C_Sedimentation_OTHERS|10.1016/j.scitotenv.2021.150545,tap water,0.26,particles/L,0.26,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,
10.1016/j.scitotenv.2021.150545,C_Ozonation|10.1016/j.scitotenv.2021.150545,C_Ozonation_PET|10.1016/j.scitotenv.2021.150545,tap water,0,particles/L,0,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10.1016/j.scitotenv.2021.150545,C_Ozonation|10.1016/j.scitotenv.2021.150545,C_Ozonation_VINYL|10.1016/j.scitotenv.2021.150545,tap water,0.14,particles/L,0.14,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10.1016/j.scitotenv.2021.150545,C_Ozonation|10.1016/j.scitotenv.2021.150545,C_Ozonation_OTHERS|10.1016/j.scitotenv.2021.150545,tap water,0.19,particles/L,0.19,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,
10.1016/j.scitotenv.2021.150545,C_BAC|10.1016/j.scitotenv.2021.150545,C_BAC_PET|10.1016/j.scitotenv.2021.150545,tap water,0,particles/L,0,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10.1016/j.scitotenv.2021.150545,C_BAC|10.1016/j.scitotenv.2021.150545,C_BAC_VINYL|10.1016/j.scitotenv.2021.150545,tap water,2.68,particles/L,2.68,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10.1016/j.scitotenv.2021.150545,C_BAC|10.1016/j.scitotenv.2021.150545,C_BAC_OTHERS|10.1016/j.scitotenv.2021.150545,tap water,0.13,particles/L,0.13,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,
10.1016/j.scitotenv.2021.150545,C_Flocc|10.1016/j.scitotenv.2021.150545,C_Flocc_PET|10.1016/j.scitotenv.2021.150545,tap water,0,particles/L,0,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10.1016/j.scitotenv.2021.150545,C_Flocc|10.1016/j.scitotenv.2021.150545,C_Flocc_VINYL|10.1016/j.scitotenv.2021.150545,tap water,0.1,particles/L,0.1,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10.1016/j.scitotenv.2021.150545,C_Flocc|10.1016/j.scitotenv.2021.150545,C_Flocc_OTHERS|10.1016/j.scitotenv.2021.150545,tap water,0.17,particles/L,0.17,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,
10.1016/j.scitotenv.2021.150545,C_Sand|10.1016/j.scitotenv.2021.150545,C_Sand_PET|10.1016/j.scitotenv.2021.150545,tap water,0,particles/L,0,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10.1016/j.scitotenv.2021.150545,C_Sand|10.1016/j.scitotenv.2021.150545,C_Sand_VINYL|10.1016/j.scitotenv.2021.150545,tap water,0,particles/L,0,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10.1016/j.scitotenv.2021.150545,C_Sand|10.1016/j.scitotenv.2021.150545,C_Sand_OTHERS|10.1016/j.scitotenv.2021.150545,tap water,0.09,particles/L,0.09,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,
10.1016/j.scitotenv.2021.150545,C_Treated|10.1016/j.scitotenv.2021.150545,C_Treated_PET|10.1016/j.scitotenv.2021.150545,tap water,0,particles/L,0,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10.1016/j.scitotenv.2021.150545,C_Treated|10.1016/j.scitotenv.2021.150545,C_Treated_VINYL|10.1016/j.scitotenv.2021.150545,tap water,0,particles/L,0,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10.1016/j.scitotenv.2021.150545,C_Treated|10.1016/j.scitotenv.2021.150545,C_Treated_OTHERS|10.1016/j.scitotenv.2021.150545,tap water,0,particles/L,0,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,
10.1371/journal.pone.0236838,Mintenig|10.1371/journal.pone.0236838,N/A,tap water,0.0007,particles/L,0.0007,,0.62,,0.06,,,,0.14,,,,,,,,,,,,,,0.09,,,,,,,,,,,,,,,,,,,,,,,,,,
10.1371/journal.pone.0236838,Strand|10.1371/journal.pone.0236838,N/A,tap water,0.59,particles/L,0.59,,,0.5,,,0.25,,,,,0.25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10.1371/journal.pone.0236838,Mason|10.1371/journal.pone.0236838,Mason.1|10.1371/journal.pone.0236838,bottled water,315,particles/L,315,,,0.54,0.16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10.1371/journal.pone.0236838,Mason|10.1371/journal.pone.0236838,Mason.2|10.1371/journal.pone.0236838,bottled water,10.4,particles/L,10.4,,,0.54,0.16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10.1016/j.impact.2021.100302,MineralWater_SingleUsePET|10.1016/j.impact.2021.100302,N/A,bottled water,2649,particles/L,2649,,0.007,0.1,,,,,,,,0.78,,,,,,,,,,0.01,,,,,,,,,,,,,,,,,,,,0.11,,,,,,,
10.1016/j.impact.2021.100302,MineralWater_ReusablePET|10.1016/j.impact.2021.100302,N/A,bottled water,4889,particles/L,4889,,0.007,0.1,,,,,,,,0.78,,,,,,,,,,0.01,,,,,,,,,,,,,,,,,,,,0.11,,,,,,,
10.1016/j.impact.2021.100302,MineralWater_Glass|10.1016/j.impact.2021.100302,N/A,bottled water,6292,particles/L,6292,,0.007,0.1,,,,,,,,0.78,,,,,,,,,,0.01,,,,,,,,,,,,,,,,,,,,0.11,,,,,,,
10.1016/j.impact.2021.100302,RawDrinkingWater|10.1016/j.impact.2021.100302,RawDrinkingWater.1|10.1016/j.impact.2021.100302,tap water,1473,particles/L,1473,,0.08,0.2,,,0.05,,0.05,,,0.52,,,,,,,,,,0.06,,0.02,,,,,,,,,0.02,0.02,,,,,,,,,,,,,,,
10.1016/j.impact.2021.100302,RawDrinkingWater|10.1016/j.impact.2021.100302,RawDrinkingWater.2|10.1016/j.impact.2021.100302,tap water,1812,particles/L,1812,,0.08,0.2,,,0.05,,0.05,,,0.52,,,,,,,,,,0.06,,0.02,,,,,,,,,0.02,0.02,,,,,,,,,,,,,,,
10.1016/j.impact.2021.100302,RawDrinkingWater|10.1016/j.impact.2021.100302,RawDrinkingWater.3|10.1016/j.impact.2021.100302,tap water,3605,particles/L,3605,,0.08,0.2,,,0.05,,0.05,,,0.52,,,,,,,,,,0.06,,0.02,,,,,,,,,0.02,0.02,,,,,,,,,,,,,,,
10.1016/j.impact.2021.100302,TapWater|10.1016/j.impact.2021.100302,N/A,tap water,440,particles/L,440,,0.267,0.244,,0.22,0.065,,,,,0.033,,,,,,,,,,0.098,,,,0.073,,,,,,,,,,,,,,,,,,,,,,,
10.1016/j.cotox.2021.09.003,Kankanige1|10.1016/j.cotox.2021.09.003,N/A,bottled water,140,particles/L,140,,0.242,0.181,0.072,,,,0.044,,,0.284,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10.1016/j.cotox.2021.09.003,Kankanige2|10.1016/j.cotox.2021.09.003,N/A,bottled water,52,particles/L,52,,0.242,0.181,0.072,,,,0.044,,,0.284,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10.1016/j.cotox.2021.09.003,Kankanige3|10.1016/j.cotox.2021.09.003,Kankanige3.1.10.1016/j.cotox.2021.09.003,tap water,56,particles/L,56,,0.242,0.181,0.072,,,,0.022,,,0.284,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10.1016/j.cotox.2021.09.003,Kankanige3|10.1016/j.cotox.2021.09.003,Kankanige3.2.10.1016/j.cotox.2021.09.003,tap water,14,particles/L,14,,0.242,0.181,0.072,,,,0.022,,,0.284,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10.1016/j.cotox.2021.09.003,Kankanige3|10.1016/j.cotox.2021.09.003,Kankanige3.3.10.1016/j.cotox.2021.09.003,tap water,13,particles/L,13,,0.242,0.181,0.072,,,,0.022,,,0.284,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10.1016/j.cotox.2021.09.003,Kankanige3|10.1016/j.cotox.2021.09.003,Kankanige3.4.10.1016/j.cotox.2021.09.003,tap water,6,particles/L,6,,0.242,0.181,0.072,,,,0.022,,,0.284,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10.1016/j.chemosphere.2020.126493,A|10.1016/j.chemosphere.2020.126493,1|10.1016/j.chemosphere.2020.126493,tap water,125,particles/L,125,,0.267,0.244,,,0.065,,,,,0.033,,,,,,,,,,0.098,,,0.22,0.073,,,,,,,,,,,,,,,,,,,,,,,
10.1016/j.chemosphere.2020.126493,A|10.1016/j.chemosphere.2020.126493,2|10.1016/j.chemosphere.2020.126493,tap water,0,particles/L,0,,0.267,0.244,,,0.065,,,,,0.033,,,,,,,,,,0.098,,,0.22,0.073,,,,,,,,,,,,,,,,,,,,,,,
10.1016/j.chemosphere.2020.126493,A|10.1016/j.chemosphere.2020.126493,3|10.1016/j.chemosphere.2020.126493,tap water,249,particles/L,249,,0.267,0.244,,,0.065,,,,,0.033,,,,,,,,,,0.098,,,0.22,0.073,,,,,,,,,,,,,,,,,,,,,,,
10.1016/j.chemosphere.2020.126493,A|10.1016/j.chemosphere.2020.126493,4|10.1016/j.chemosphere.2020.126493,tap water,872,particles/L,872,,0.267,0.244,,,0.065,,,,,0.033,,,,,,,,,,0.098,,,0.22,0.073,,,,,,,,,,,,,,,,,,,,,,,
10.1016/j.chemosphere.2020.126493,A|10.1016/j.chemosphere.2020.126493,5|10.1016/j.chemosphere.2020.126493,tap water,249,particles/L,249,,0.267,0.244,,,0.065,,,,,0.033,,,,,,,,,,0.098,,,0.22,0.073,,,,,,,,,,,,,,,,,,,,,,,
10.1016/j.chemosphere.2020.126493,A|10.1016/j.chemosphere.2020.126493,6|10.1016/j.chemosphere.2020.126493,tap water,374,particles/L,374,,0.267,0.244,,,0.065,,,,,0.033,,,,,,,,,,0.098,,,0.22,0.073,,,,,,,,,,,,,,,,,,,,,,,
10.1016/j.chemosphere.2020.126493,A|10.1016/j.chemosphere.2020.126493,7|10.1016/j.chemosphere.2020.126493,tap water,499,particles/L,499,,0.267,0.244,,,0.065,,,,,0.033,,,,,,,,,,0.098,,,0.22,0.073,,,,,,,,,,,,,,,,,,,,,,,
10.1016/j.chemosphere.2020.126493,A|10.1016/j.chemosphere.2020.126493,8|10.1016/j.chemosphere.2020.126493,tap water,249,particles/L,249,,0.267,0.244,,,0.065,,,,,0.033,,,,,,,,,,0.098,,,0.22,0.073,,,,,,,,,,,,,,,,,,,,,,,
10.1016/j.chemosphere.2020.126493,A|10.1016/j.chemosphere.2020.126493,9|10.1016/j.chemosphere.2020.126493,tap water,499,particles/L,499,,0.267,0.244,,,0.065,,,,,0.033,,,,,,,,,,0.098,,,0.22,0.073,,,,,,,,,,,,,,,,,,,,,,,
10.1016/j.chemosphere.2020.126493,A|10.1016/j.chemosphere.2020.126493,10|10.1016/j.chemosphere.2020.126493,tap water,374,particles/L,374,,0.267,0.244,,,0.065,,,,,0.033,,,,,,,,,,0.098,,,0.22,0.073,,,,,,,,,,,,,,,,,,,,,,,
10.1016/j.chemosphere.2020.126493,A|10.1016/j.chemosphere.2020.126493,11|10.1016/j.chemosphere.2020.126493,tap water,249,particles/L,249,,0.267,0.244,,,0.065,,,,,0.033,,,,,,,,,,0.098,,,0.22,0.073,,,,,,,,,,,,,,,,,,,,,,,
10.1016/j.chemosphere.2020.126493,A|10.1016/j.chemosphere.2020.126493,12|10.1016/j.chemosphere.2020.126493,tap water,249,particles/L,249,,0.267,0.244,,,0.065,,,,,0.033,,,,,,,,,,0.098,,,0.22,0.073,,,,,,,,,,,,,,,,,,,,,,,
10.1016/j.chemosphere.2020.126493,A|10.1016/j.chemosphere.2020.126493,13|10.1016/j.chemosphere.2020.126493,tap water,249,particles/L,249,,0.267,0.244,,,0.065,,,,,0.033,,,,,,,,,,0.098,,,0.22,0.073,,,,,,,,,,,,,,,,,,,,,,,
10.1016/j.chemosphere.2020.126493,A|10.1016/j.chemosphere.2020.126493,14|10.1016/j.chemosphere.2020.126493,tap water,374,particles/L,374,,0.267,0.244,,,0.065,,,,,0.033,,,,,,,,,,0.098,,,0.22,0.073,,,,,,,,,,,,,,,,,,,,,,,
10.1016/j.chemosphere.2020.126493,A|10.1016/j.chemosphere.2020.126493,15|10.1016/j.chemosphere.2020.126493,tap water,748,particles/L,748,,0.267,0.244,,,0.065,,,,,0.033,,,,,,,,,,0.098,,,0.22,0.073,,,,,,,,,,,,,,,,,,,,,,,
10.1016/j.chemosphere.2020.126493,A|10.1016/j.chemosphere.2020.126493,16|10.1016/j.chemosphere.2020.126493,tap water,374,particles/L,374,,0.267,0.244,,,0.065,,,,,0.033,,,,,,,,,,0.098,,,0.22,0.073,,,,,,,,,,,,,,,,,,,,,,,
10.1016/j.chemosphere.2020.126493,A|10.1016/j.chemosphere.2020.126493,17|10.1016/j.chemosphere.2020.126493,tap water,1247,particles/L,1247,,0.267,0.244,,,0.065,,,,,0.033,,,,,,,,,,0.098,,,0.22,0.073,,,,,,,,,,,,,,,,,,,,,,,
10.1016/j.chemosphere.2020.126493,A|10.1016/j.chemosphere.2020.126493,18|10.1016/j.chemosphere.2020.126493,tap water,623,particles/L,623,,0.267,0.244,,,0.065,,,,,0.033,,,,,,,,,,0.098,,,0.22,0.073,,,,,,,,,,,,,,,,,,,,,,,
10.1016/j.chemosphere.2020.126493,A|10.1016/j.chemosphere.2020.126493,19|10.1016/j.chemosphere.2020.126493,tap water,499,particles/L,499,,0.267,0.244,,,0.065,,,,,0.033,,,,,,,,,,0.098,,,0.22,0.073,,,,,,,,,,,,,,,,,,,,,,,
10.1016/j.chemosphere.2020.126493,A|10.1016/j.chemosphere.2020.126493,20|10.1016/j.chemosphere.2020.126493,tap water,374,particles/L,374,,0.267,0.244,,,0.065,,,,,0.033,,,,,,,,,,0.098,,,0.22,0.073,,,,,,,,,,,,,,,,,,,,,,,
10.1016/j.chemosphere.2020.126493,A|10.1016/j.chemosphere.2020.126493,21|10.1016/j.chemosphere.2020.126493,tap water,125,particles/L,125,,0.267,0.244,,,0.065,,,,,0.033,,,,,,,,,,0.098,,,0.22,0.073,,,,,,,,,,,,,,,,,,,,,,,
10.1016/j.chemosphere.2020.126493,A|10.1016/j.chemosphere.2020.126493,22|10.1016/j.chemosphere.2020.126493,tap water,499,particles/L,499,,0.267,0.244,,,0.065,,,,,0.033,,,,,,,,,,0.098,,,0.22,0.073,,,,,,,,,,,,,,,,,,,,,,,
10.1016/j.chemosphere.2020.126493,A|10.1016/j.chemosphere.2020.126493,23|10.1016/j.chemosphere.2020.126493,tap water,249,particles/L,249,,0.267,0.244,,,0.065,,,,,0.033,,,,,,,,,,0.098,,,0.22,0.073,,,,,,,,,,,,,,,,,,,,,,,
10.1016/j.chemosphere.2020.126493,A|10.1016/j.chemosphere.2020.126493,24|10.1016/j.chemosphere.2020.126493,tap water,499,particles/L,499,,0.267,0.244,,,0.065,,,,,0.033,,,,,,,,,,0.098,,,0.22,0.073,,,,,,,,,,,,,,,,,,,,,,,
10.1016/j.chemosphere.2020.126493,A|10.1016/j.chemosphere.2020.126493,25|10.1016/j.chemosphere.2020.126493,tap water,249,particles/L,249,,0.267,0.244,,,0.065,,,,,0.033,,,,,,,,,,0.098,,,0.22,0.073,,,,,,,,,,,,,,,,,,,,,,,
10.1016/j.chemosphere.2020.126493,A|10.1016/j.chemosphere.2020.126493,26|10.1016/j.chemosphere.2020.126493,tap water,0,particles/L,0,,0.267,0.244,,,0.065,,,,,0.033,,,,,,,,,,0.098,,,0.22,0.073,,,,,,,,,,,,,,,,,,,,,,,
10.1016/j.chemosphere.2020.126493,A|10.1016/j.chemosphere.2020.126493,27|10.1016/j.chemosphere.2020.126493,tap water,1247,particles/L,1247,,0.267,0.244,,,0.065,,,,,0.033,,,,,,,,,,0.098,,,0.22,0.073,,,,,,,,,,,,,,,,,,,,,,,
10.1016/j.chemosphere.2020.126493,A|10.1016/j.chemosphere.2020.126493,28|10.1016/j.chemosphere.2020.126493,tap water,374,particles/L,374,,0.267,0.244,,,0.065,,,,,0.033,,,,,,,,,,0.098,,,0.22,0.073,,,,,,,,,,,,,,,,,,,,,,,
10.1016/j.chemosphere.2020.126493,A|10.1016/j.chemosphere.2020.126493,29|10.1016/j.chemosphere.2020.126493,tap water,623,particles/L,623,,0.267,0.244,,,0.065,,,,,0.033,,,,,,,,,,0.098,,,0.22,0.073,,,,,,,,,,,,,,,,,,,,,,,
10.1016/j.chemosphere.2020.126493,A|10.1016/j.chemosphere.2020.126493,30|10.1016/j.chemosphere.2020.126493,tap water,499,particles/L,499,,0.267,0.244,,,0.065,,,,,0.033,,,,,,,,,,0.098,,,0.22,0.073,,,,,,,,,,,,,,,,,,,,,,,
10.1016/j.chemosphere.2020.126493,A|10.1016/j.chemosphere.2020.126493,31|10.1016/j.chemosphere.2020.126493,tap water,499,particles/L,499,,0.267,0.244,,,0.065,,,,,0.033,,,,,,,,,,0.098,,,0.22,0.073,,,,,,,,,,,,,,,,,,,,,,,
10.1016/j.chemosphere.2020.126493,A|10.1016/j.chemosphere.2020.126493,32|10.1016/j.chemosphere.2020.126493,tap water,374,particles/L,374,,0.267,0.244,,,0.065,,,,,0.033,,,,,,,,,,0.098,,,0.22,0.073,,,,,,,,,,,,,,,,,,,,,,,
10.1016/j.chemosphere.2020.126493,A|10.1016/j.chemosphere.2020.126493,33|10.1016/j.chemosphere.2020.126493,tap water,748,particles/L,748,,0.267,0.244,,,0.065,,,,,0.033,,,,,,,,,,0.098,,,0.22,0.073,,,,,,,,,,,,,,,,,,,,,,,
10.1016/j.chemosphere.2020.126493,A|10.1016/j.chemosphere.2020.126493,34|10.1016/j.chemosphere.2020.126493,tap water,623,particles/L,623,,0.267,0.244,,,0.065,,,,,0.033,,,,,,,,,,0.098,,,0.22,0.073,,,,,,,,,,,,,,,,,,,,,,,
10.1016/j.chemosphere.2020.126493,A|10.1016/j.chemosphere.2020.126493,35|10.1016/j.chemosphere.2020.126493,tap water,249,particles/L,249,,0.267,0.244,,,0.065,,,,,0.033,,,,,,,,,,0.098,,,0.22,0.073,,,,,,,,,,,,,,,,,,,,,,,
10.1016/j.chemosphere.2020.126493,A|10.1016/j.chemosphere.2020.126493,36|10.1016/j.chemosphere.2020.126493,tap water,374,particles/L,374,,0.267,0.244,,,0.065,,,,,0.033,,,,,,,,,,0.098,,,0.22,0.073,,,,,,,,,,,,,,,,,,,,,,,
10.1016/j.chemosphere.2020.126493,A|10.1016/j.chemosphere.2020.126493,37|10.1016/j.chemosphere.2020.126493,tap water,249,particles/L,249,,0.267,0.244,,,0.065,,,,,0.033,,,,,,,,,,0.098,,,0.22,0.073,,,,,,,,,,,,,,,,,,,,,,,
10.1016/j.chemosphere.2020.126493,A|10.1016/j.chemosphere.2020.126493,38|10.1016/j.chemosphere.2020.126493,tap water,748,particles/L,748,,0.267,0.244,,,0.065,,,,,0.033,,,,,,,,,,0.098,,,0.22,0.073,,,,,,,,,,,,,,,,,,,,,,,
10.1016/j.scitotenv.2019.134520,Finished|10.1016/j.scitotenv.2019.134520,N/A,tap water,930,particles/L,930,,0.134553283,,0.120559742,,,,,,,0.522066738,,,,,,,,,,0.08826695,,,,,,,,,,,,,,,,,,,,,,,,,,,0.134553283
10.1016/j.scitotenv.2021.148001,TCQS|10.1016/j.scitotenv.2021.148001,N/A,tap water,400,particles/m3,0.4,,0.044,0.017,0.01,,0.007,,,,,0.818,,,,,,,,,,0.104,,,,,,,,,,,,,,,,,,,,,,,,,,,
10.1016/j.scitotenv.2021.148001,SHN|10.1016/j.scitotenv.2021.148001,N/A,tap water,510,particles/m3,0.51,,0.044,0.017,0.01,,0.007,,,,,0.818,,,,,,,,,,0.104,,,,,,,,,,,,,,,,,,,,,,,,,,,
10.1016/j.scitotenv.2021.148001,CHQ|10.1016/j.scitotenv.2021.148001,N/A,tap water,510,particles/m3,0.51,,0.044,0.017,0.01,,0.007,,,,,0.818,,,,,,,,,,0.104,,,,,,,,,,,,,,,,,,,,,,,,,,,
10.1016/j.scitotenv.2021.148001,CHH|10.1016/j.scitotenv.2021.148001,N/A,tap water,550,particles/m3,0.55,,0.044,0.017,0.01,,0.007,,,,,0.818,,,,,,,,,,0.104,,,,,,,,,,,,,,,,,,,,,,,,,,,
10.1016/j.scitotenv.2021.148001,ZHB|10.1016/j.scitotenv.2021.148001,N/A,tap water,600,particles/m3,0.6,,0.044,0.017,0.01,,0.007,,,,,0.818,,,,,,,,,,0.104,,,,,,,,,,,,,,,,,,,,,,,,,,,
10.1016/j.scitotenv.2021.148001,DAS|10.1016/j.scitotenv.2021.148001,N/A,tap water,605,particles/m3,0.605,,0.044,0.017,0.01,,0.007,,,,,0.818,,,,,,,,,,0.104,,,,,,,,,,,,,,,,,,,,,,,,,,,
10.1016/j.scitotenv.2021.148001,XHS|10.1016/j.scitotenv.2021.148001,N/A,tap water,630,particles/m3,0.63,,0.044,0.017,0.01,,0.007,,,,,0.818,,,,,,,,,,0.104,,,,,,,,,,,,,,,,,,,,,,,,,,,
10.1016/j.scitotenv.2021.148001,HNZ|10.1016/j.scitotenv.2021.148001,N/A,tap water,750,particles/m3,0.75,,0.044,0.017,0.01,,0.007,,,,,0.818,,,,,,,,,,0.104,,,,,,,,,,,,,,,,,,,,,,,,,,,
10.1016/j.scitotenv.2021.148001,TCH|10.1016/j.scitotenv.2021.148001,N/A,tap water,560,particles/m3,0.56,,0.044,0.017,0.01,,0.007,,,,,0.818,,,,,,,,,,0.104,,,,,,,,,,,,,,,,,,,,,,,,,,,
10.1016/j.scitotenv.2021.148001,WHH|10.1016/j.scitotenv.2021.148001,N/A,tap water,600,particles/m3,0.6,,0.044,0.017,0.01,,0.007,,,,,0.818,,,,,,,,,,0.104,,,,,,,,,,,,,,,,,,,,,,,,,,,
10.1016/j.scitotenv.2021.148001,Spr|10.1016/j.scitotenv.2021.148001,N/A,tap water,390,particles/m3,0.39,,0.044,0.017,0.01,,0.007,,,,,0.818,,,,,,,,,,0.104,,,,,,,,,,,,,,,,,,,,,,,,,,,
10.1016/j.scitotenv.2021.148001,Sum|10.1016/j.scitotenv.2021.148001,N/A,tap water,360,particles/m3,0.36,,0.044,0.017,0.01,,0.007,,,,,0.818,,,,,,,,,,0.104,,,,,,,,,,,,,,,,,,,,,,,,,,,
10.1016/j.scitotenv.2021.148001,Aut|10.1016/j.scitotenv.2021.148001,N/A,tap water,750,particles/m3,0.75,,0.044,0.017,0.01,,0.007,,,,,0.818,,,,,,,,,,0.104,,,,,,,,,,,,,,,,,,,,,,,,,,,
10.1016/j.scitotenv.2021.148001,Win|10.1016/j.scitotenv.2021.148001,N/A,tap water,540,particles/m3,0.54,,0.044,0.017,0.01,,0.007,,,,,0.818,,,,,,,,,,0.104,,,,,,,,,,,,,,,,,,,,,,,,,,,